index,time,data
254,1597991045552866291,1896
255,1597991045552895906,1896
256,1597991045552934774,1891
257,1597991045552975111,1896
258,1597991045600866446,1904
259,1597991045601102569,1896
260,1597991045601227738,1894
263,1597991045644856419,1899
264,1597991045644931190,1896
265,1597991045644953936,1898
266,1597991045644974257,1896
267,1597991045644995579,1896
268,1597991045693002028,1899
269,1597991045693295912,1896
270,1597991045693455290,1896
271,1597991045693579485,1896
272,1597991045693732834,1899
273,1597991045740818355,1894
274,1597991045740889498,1901
275,1597991045740916776,1896
276,1597991045740952038,1894
277,1597991045740987750,1894
278,1597991045788730432,1901
279,1597991045788800342,1898
280,1597991045788821404,1906
281,1597991045788838861,1896
282,1597991045788857901,1893
283,1597991045828866336,1896
284,1597991045828953880,1896
285,1597991045828983578,1896
286,1597991045829009814,1904
287,1597991045829034813,1896
288,1597991045872883685,1902
289,1597991045872978053,1898
290,1597991045873027016,1896
291,1597991045873056282,1894
292,1597991045873082370,1902
293,1597991045883106934,1891
294,1597991045928945527,1894
295,1597991045929187122,1894
296,1597991045929324318,1894
297,1597991045929513957,1894
298,1597991045929682569,1899
299,1597991045972836948,1904
300,1597991045972925045,1896
301,1597991045972956072,1896
302,1597991045972985757,1898
303,1597991045973891029,1894
304,1597991045983448158,1898
305,1597991046029078536,1896
306,1597991046029405115,1901
307,1597991046029571585,1896
308,1597991046029721943,1898
309,1597991046072846170,1906
310,1597991046072934482,1901
311,1597991046072973197,1899
312,1597991046073007723,1899
313,1597991046073041300,1896
314,1597991046116781117,1896
315,1597991046116864123,1896
316,1597991046116887919,1896
317,1597991046116905366,1894
318,1597991046116931766,1896
319,1597991046160780318,1904
321,1597991046160970784,1896
322,1597991046161022079,1894
323,1597991046161066651,1894
324,1597991046208745094,1902
325,1597991046208817684,1894
327,1597991046208843171,1896
328,1597991046208861381,1894
329,1597991046252757327,1899
330,1597991046252831770,1894
331,1597991046252857350,1896
332,1597991046252879187,1894
333,1597991046252914934,1896
334,1597991046296864629,1898
335,1597991046296996971,1896
336,1597991046297075952,1896
337,1597991046297166400,1898
338,1597991046297253348,1896
339,1597991046340862192,1894
340,1597991046341005385,1894
341,1597991046341103289,1901
342,1597991046341173550,1906
344,1597991046350848061,1896
345,1597991046392918755,1898
346,1597991046393000872,1896
347,1597991046393019416,1896
348,1597991046393036614,1896
349,1597991046436850692,1896
350,1597991046436935858,1896
351,1597991046436966302,1898
353,1597991046436993806,1904
354,1597991046480853794,1901
355,1597991046481105072,1898
356,1597991046481244978,1898
357,1597991046481359079,1907
358,1597991046481481362,1898
359,1597991046528805086,1896
360,1597991046528871479,1896
361,1597991046528892892,1894
362,1597991046528914917,1894
363,1597991046528943373,1896
364,1597991046572742267,1894
365,1597991046572832879,1904
366,1597991046572853258,1896
367,1597991046572871254,1896
368,1597991046572890801,1896
369,1597991046620789708,1898
