index,time,data
245,1598235554522869087,1904
246,1598235554522907062,1899
247,1598235554522949580,1901
248,1598235554566758509,1899
249,1598235554566825069,1901
250,1598235554566843298,1901
251,1598235554566859785,1894
252,1598235554566876456,1901
253,1598235554610828508,1901
254,1598235554610896792,1899
255,1598235554610917687,1901
256,1598235554610934868,1899
257,1598235554611500247,1906
258,1598235554620278495,1898
259,1598235554662863582,1901
260,1598235554662953892,1901
261,1598235554662986949,1901
262,1598235554663022940,1901
263,1598235554710886162,1898
264,1598235554710958129,1901
265,1598235554710982562,1901
266,1598235554711009304,1899
267,1598235554711044217,1898
268,1598235554754829728,1901
269,1598235554754910966,1902
270,1598235554754933730,1901
271,1598235554754960351,1901
272,1598235554754984327,1902
273,1598235554798985038,1901
274,1598235554799174689,1899
275,1598235554799286638,6000
276,1598235554799408574,1901
277,1598235554799548148,1896
278,1598235554842793328,1901
279,1598235554842919372,1894
280,1598235554842969094,1901
281,1598235554843009147,1902
282,1598235554844391509,1896
283,1598235554853983931,1898
284,1598235554894898249,1901
285,1598235554895048643,1901
286,1598235554895122367,1898
287,1598235554895174998,6000
288,1598235554938800770,1899
289,1598235554938918449,1899
290,1598235554938965836,1898
291,1598235554939006670,1901
292,1598235554939048733,1901
293,1598235554982799232,1902
294,1598235554982895004,1899
295,1598235554982942697,1898
296,1598235554982985813,1898
297,1598235554984385291,1901
298,1598235554993203783,1901
299,1598235555034942471,1899
300,1598235555035237164,1896
301,1598235555035378671,1898
302,1598235555035493422,1899
303,1598235555078854170,1901
304,1598235555078943304,1899
305,1598235555078979168,6000
306,1598235555079012542,1901
307,1598235555079041756,1901
308,1598235555122812439,1904
309,1598235555122910112,1899
310,1598235555122945553,1899
311,1598235555122976125,1896
312,1598235555123616718,1901
313,1598235555133227916,1896
314,1598235555178898993,1901
315,1598235555179002473,1899
316,1598235555179035223,1894
317,1598235555179065603,1896
318,1598235555222958801,1898
319,1598235555223171196,1898
320,1598235555223264799,1899
321,1598235555223343953,1901
322,1598235555223420277,1901
323,1598235555266820402,1901
324,1598235555266921409,1901
325,1598235555266962147,1896
326,1598235555267001392,1902
327,1598235555267037573,1904
328,1598235555310840769,1901
329,1598235555310915955,1901
330,1598235555310943862,6000
331,1598235555310971414,1899
332,1598235555310998017,1899
333,1598235555354799837,1902
334,1598235555354881144,1901
335,1598235555354906087,1901
336,1598235555354927396,1901
337,1598235555356420702,1901
338,1598235555366036857,1899
339,1598235555406778923,1899
340,1598235555406841288,1901
341,1598235555406856958,1901
342,1598235555406871851,1899
343,1598235555450763071,1901
344,1598235555450831654,1898
345,1598235555450852078,1901
346,1598235555450868481,1901
347,1598235555450884978,1901
348,1598235555494801440,1899
349,1598235555494924684,1901
350,1598235555494982127,1898
351,1598235555495032265,1907
352,1598235555496491865,1901
353,1598235555505321794,1899
354,1598235555546961891,1902
355,1598235555547044705,1899
356,1598235555547071154,1901
357,1598235555547094341,1899
358,1598235555590814187,1901
359,1598235555590880599,1899
360,1598235555590904583,1894
361,1598235555590924217,1898
362,1598235555590944195,1902
363,1598235555634822383,1899
364,1598235555634897566,1907
365,1598235555634916222,1899
366,1598235555634940506,1898
367,1598235555635680852,1901
368,1598235555645431641,1899
369,1598235555686927170,1899
370,1598235555687033936,1901
371,1598235555687055724,1898
372,1598235555687075176,1901
373,1598235555730819668,1899
374,1598235555730898050,1907
375,1598235555730927067,1899
376,1598235555730953309,1901
377,1598235555730981680,1901
378,1598235555774884243,1899
379,1598235555775086734,1899
380,1598235555775156170,1901
381,1598235555775222602,1901
382,1598235555775788213,1901
383,1598235555784605398,6000
384,1598235555826949293,1896
385,1598235555827064262,1909
386,1598235555827085702,6000
387,1598235555827103539,1896
388,1598235555870769635,1901
389,1598235555870910579,1898
390,1598235555870952280,1896
391,1598235555870978927,1898
392,1598235555871004057,1904
393,1598235555914781192,1899
394,1598235555914905529,1902
395,1598235555914949458,1898
396,1598235555914985213,1898
397,1598235555915040707,1901
398,1598235555924647596,1898
399,1598235555966870198,1909
400,1598235555966948061,1896
401,1598235555966980526,1901
402,1598235555967009369,1896
403,1598235556010847792,1902
404,1598235556010969005,1899
405,1598235556011034358,1901
406,1598235556011100596,1899
407,1598235556011173407,1907
408,1598235556054815591,1899
409,1598235556054894347,1899
410,1598235556054923549,1901
411,1598235556054948623,1899
412,1598235556054975158,1898
413,1598235556098795409,1901
414,1598235556098964376,1899
415,1598235556099018230,1901
416,1598235556099055689,1899
417,1598235556101351715,1896
418,1598235556110245314,1901
419,1598235556150842394,1898
420,1598235556150940642,1901
421,1598235556150986247,6000
422,1598235556151025963,1894
423,1598235556194845444,1901
424,1598235556194941316,6000
425,1598235556194985515,1906
426,1598235556195031611,1901
427,1598235556195082757,1901
428,1598235556238985772,1901
429,1598235556239219630,1901
430,1598235556239349615,1901
431,1598235556239474005,1901
432,1598235556240859152,6000
433,1598235556250314575,1904
434,1598235556290815609,1907
435,1598235556290939075,1899
436,1598235556291000619,1899
437,1598235556291059418,6000
438,1598235556334782073,1899
439,1598235556334861412,1901
440,1598235556334892585,1901
441,1598235556334916949,1902
442,1598235556334947797,1901
